loan_id|bought_home_before|credit_score|dti|is_insured|ltv|multi_borrowers|orig_rate|prop_type|purpose|state|delq
F105Q1260026|1|749|53|0|52|0|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260079|1|727|33|0|32|1|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260090|0|771|26|0|65|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260091|1|788|25|0|80|1|5.0|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260110|1|699|15|0|51|0|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260111|1|696|29|0|64|0|5.625|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260112|1|669|38|0|60|0|5.5|1-4 Fee simple|Cash-out refinance|MN|0
F105Q1260113|1|703|58|0|68|1|5.5|1-4 Fee simple|Cash-out refinance|TN|0
F105Q1260114|1|631|37|0|63|1|5.625|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260115|1|720|999|0|26|1|5.5|1-4 Fee simple|No cash-out refinance|CA|0
F105Q1260117|1|754|23|0|30|1|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260118|1|674|34|0|49|1|5.375|1-4 Fee simple|Cash-out refinance|LA|0
F105Q1260119|1|765|41|0|67|0|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260120|1|773|31|0|49|0|5.375|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1260121|1|624|13|0|28|1|5.375|1-4 Fee simple|Cash-out refinance|others|1
F105Q1260122|1|678|49|0|77|0|5.375|Condo|No cash-out refinance|others|0
F105Q1260123|1|712|38|0|62|0|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260141|1|805|30|0|64|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260142|1|671|45|0|23|0|5.25|1-4 Fee simple|Cash-out refinance|MN|0
F105Q1260143|1|672|46|0|56|1|5.25|1-4 Fee simple|No cash-out refinance|AL|0
F105Q1260144|1|675|41|0|71|0|5.125|Planned unit development|No cash-out refinance|others|0
F105Q1260145|1|720|28|0|58|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260146|1|737|37|0|37|1|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260147|1|700|22|0|32|1|5.125|1-4 Fee simple|No cash-out refinance|MI|0
F105Q1260148|1|740|52|0|58|0|5.25|1-4 Fee simple|No cash-out refinance|others|0
